,season,lg,type,number_tm,position,player,age,tm,seas_id,player_id
0,2024,NBA,All-Defense,1st,C,Rudy Gobert,31,MIN,31747,4199
1,2024,NBA,All-Defense,1st,C,Victor Wembanyama,20,SAS,31850,5209
2,2024,NBA,All-Defense,1st,C,Bam Adebayo,26,MIA,31178,4472
3,2024,NBA,All-Defense,1st,F,Herbert Jones,25,NOP,31385,4939
4,2024,NBA,All-Defense,1st,C,Anthony Davis,30,LAL,31170,4066
5,2024,NBA,All-Defense,2nd,G,Alex Caruso,29,CHI,31153,4465
6,2024,NBA,All-Defense,2nd,G,Jalen Suggs,22,ORL,31439,4950
7,2024,NBA,All-Defense,2nd,G,Derrick White,29,BOS,31312,4492
8,2024,NBA,All-Defense,2nd,F,Jaden McDaniels,23,MIN,31419,4841
9,2024,NBA,All-Defense,2nd,G,Jrue Holiday,33,BOS,31514,3891
34,2024,NBA,All-NBA,1st,C,Nikola Jokić,28,DEN,31672,4352
35,2024,NBA,All-NBA,1st,G,Shai Gilgeous-Alexander,25,OKC,31769,4669
36,2024,NBA,All-NBA,1st,G,Luka Dončić,24,DAL,31593,4653
37,2024,NBA,All-NBA,1st,F,Giannis Antetokounmpo,29,MIL,31366,4164
38,2024,NBA,All-NBA,1st,F,Jayson Tatum,25,BOS,31468,4518
39,2024,NBA,All-NBA,2nd,G,Jalen Brunson,27,NYK,31429,4629
40,2024,NBA,All-NBA,2nd,G,Anthony Edwards,22,MIN,31171,4808
41,2024,NBA,All-NBA,2nd,F,Kevin Durant,35,PHO,31551,3770
42,2024,NBA,All-NBA,2nd,F,Kawhi Leonard,32,LAC,31531,4032
43,2024,NBA,All-NBA,2nd,C,Anthony Davis,30,LAL,31170,4066
44,2024,NBA,All-NBA,3rd,F,LeBron James,39,LAL,31585,3462
45,2024,NBA,All-NBA,3rd,G,Stephen Curry,35,GSW,31786,3903
46,2024,NBA,All-NBA,3rd,F,Domantas Sabonis,27,SAC,31320,4398
47,2024,NBA,All-NBA,3rd,G,Tyrese Haliburton,23,IND,31842,4892
48,2024,NBA,All-NBA,3rd,G,Devin Booker,27,PHO,31314,4321
59,2024,NBA,All-Rookie,1st,,Chet Holmgren,21,OKC,31230,5125
60,2024,NBA,All-Rookie,1st,,Victor Wembanyama,20,SAS,31850,5209
61,2024,NBA,All-Rookie,1st,,Brandon Miller,21,CHO,31200,5121
62,2024,NBA,All-Rookie,1st,,Jaime Jaquez Jr.,22,MIA,31426,5151
63,2024,NBA,All-Rookie,1st,,Brandin Podziemski,20,GSW,31196,5120
64,2024,NBA,All-Rookie,2nd,,Dereck Lively II,19,DAL,31308,5134
65,2024,NBA,All-Rookie,2nd,,Amen Thompson,21,HOU,31161,5113
66,2024,NBA,All-Rookie,2nd,,Keyonte George,20,UTA,31558,5170
67,2024,NBA,All-Rookie,2nd,,Cason Wallace,20,OKC,31226,5124
68,2024,NBA,All-Rookie,2nd,,GG Jackson II,19,MEM,31358,5142
80,2023,NBA,All-Defense,1st,F,Jaren Jackson Jr.,23,MEM,30733,4631
81,2023,NBA,All-Defense,1st,G,Jrue Holiday,32,MIL,30796,3891
82,2023,NBA,All-Defense,1st,C,Brook Lopez,34,MIL,30508,3801
83,2023,NBA,All-Defense,1st,F,Evan Mobley,21,CLE,30640,4931
84,2023,NBA,All-Defense,1st,G,Alex Caruso,28,CHI,30471,4465
85,2023,NBA,All-Defense,2nd,G,Derrick White,28,BOS,30601,4492
86,2023,NBA,All-Defense,2nd,F,Draymond Green,32,GSW,30622,4085
87,2023,NBA,All-Defense,2nd,F,OG Anunoby,25,TOR,30971,4555
88,2023,NBA,All-Defense,2nd,G,Dillon Brooks,27,MEM,30612,4494
89,2023,NBA,All-Defense,2nd,C,Bam Adebayo,25,MIA,30489,4472
118,2023,NBA,All-NBA,1st,F,Giannis Antetokounmpo,28,MIL,30665,4164
119,2023,NBA,All-NBA,1st,F,Jayson Tatum,24,BOS,30749,4518
120,2023,NBA,All-NBA,1st,C,Joel Embiid,28,PHI,30764,4416
121,2023,NBA,All-NBA,1st,G,Shai Gilgeous-Alexander,24,OKC,31046,4669
122,2023,NBA,All-NBA,1st,G,Luka Dončić,23,DAL,30880,4653
123,2023,NBA,All-NBA,2nd,C,Nikola Jokić,27,DEN,30964,4352
124,2023,NBA,All-NBA,2nd,G,Donovan Mitchell,26,CLE,30615,4495
125,2023,NBA,All-NBA,2nd,G,Stephen Curry,34,GSW,31056,3903
126,2023,NBA,All-NBA,2nd,F,Jimmy Butler,33,MIA,30759,4023
127,2023,NBA,All-NBA,2nd,F,Jaylen Brown,26,BOS,30746,4414
128,2023,NBA,All-NBA,3rd,C,Domantas Sabonis,26,SAC,30613,4398
129,2023,NBA,All-NBA,3rd,G,De'Aaron Fox,25,SAC,30585,4489
130,2023,NBA,All-NBA,3rd,G,Damian Lillard,32,POR,30561,4077
131,2023,NBA,All-NBA,3rd,F,Julius Randle,28,NYK,30805,4266
132,2023,NBA,All-NBA,3rd,F,LeBron James,38,LAL,30873,3462
154,2023,NBA,All-Rookie,1st,,Paolo Banchero,20,ORL,30981,5089
155,2023,NBA,All-Rookie,1st,,Jalen Williams,21,OKC,30718,5057
156,2023,NBA,All-Rookie,1st,,Walker Kessler,21,UTA,31117,5106
157,2023,NBA,All-Rookie,1st,,Keegan Murray,22,SAC,30819,5072
158,2023,NBA,All-Rookie,1st,,Bennedict Mathurin,20,IND,30491,5030
159,2023,NBA,All-Rookie,2nd,,Jaden Ivey,20,DET,30700,5054
160,2023,NBA,All-Rookie,2nd,,Jalen Duren,19,DET,30710,5056
161,2023,NBA,All-Rookie,2nd,,Jabari Smith Jr.,19,HOU,30695,5049
162,2023,NBA,All-Rookie,2nd,,Jeremy Sochan,19,SAS,30756,5064
163,2023,NBA,All-Rookie,2nd,,Tari Eason,21,HOU,31068,5100
174,2022,NBA,All-Defense,1st,G,Marcus Smart,27,BOS,30183,4275
175,2022,NBA,All-Defense,1st,G,Mikal Bridges,25,PHO,30205,4657
176,2022,NBA,All-Defense,1st,C,Rudy Gobert,29,UTA,30313,4199
177,2022,NBA,All-Defense,1st,F,Giannis Antetokounmpo,27,MIL,29918,4164
178,2022,NBA,All-Defense,1st,F,Jaren Jackson Jr.,22,MEM,29991,4631
179,2022,NBA,All-Defense,2nd,F,Bam Adebayo,24,MIA,29689,4472
180,2022,NBA,All-Defense,2nd,G,Jrue Holiday,31,MIL,30061,3891
181,2022,NBA,All-Defense,2nd,G,Matisse Thybulle,24,PHI,30194,4760
182,2022,NBA,All-Defense,2nd,C,Robert Williams,24,BOS,30301,4666
183,2022,NBA,All-Defense,2nd,F,Draymond Green,31,GSW,29870,4085
208,2022,NBA,All-NBA,1st,F,Giannis Antetokounmpo,27,MIL,29918,4164
209,2022,NBA,All-NBA,1st,C,Nikola Jokić,26,DEN,30247,4352
210,2022,NBA,All-NBA,1st,G,Luka Dončić,22,DAL,30158,4653
211,2022,NBA,All-NBA,1st,G,Devin Booker,25,PHO,29850,4321
212,2022,NBA,All-NBA,1st,F,Jayson Tatum,23,BOS,30010,4518
213,2022,NBA,All-NBA,2nd,C,Joel Embiid,27,PHI,30033,4416
214,2022,NBA,All-NBA,2nd,G,Ja Morant,22,MEM,29959,4723
215,2022,NBA,All-NBA,2nd,F,Kevin Durant,33,BRK,30110,3770
216,2022,NBA,All-NBA,2nd,G,Stephen Curry,33,GSW,30348,3903
217,2022,NBA,All-NBA,2nd,F,DeMar DeRozan,32,CHI,29830,3872
218,2022,NBA,All-NBA,3rd,C,Karl-Anthony Towns,26,MIN,30091,4339
219,2022,NBA,All-NBA,3rd,F,LeBron James,37,LAL,30150,3462
220,2022,NBA,All-NBA,3rd,G,Chris Paul,36,PHO,29760,3585
221,2022,NBA,All-NBA,3rd,G,Trae Young,23,ATL,30386,4675
222,2022,NBA,All-NBA,3rd,F,Pascal Siakam,27,TOR,30263,4436
235,2022,NBA,All-Rookie,1st,,Cade Cunningham,20,DET,29725,4912
236,2022,NBA,All-Rookie,1st,,Evan Mobley,20,CLE,29892,4931
237,2022,NBA,All-Rookie,1st,,Scottie Barnes,20,TOR,30324,5006
238,2022,NBA,All-Rookie,1st,,Franz Wagner,20,ORL,29898,4933
239,2022,NBA,All-Rookie,1st,,Jalen Green,19,HOU,29970,4948
240,2022,NBA,All-Rookie,2nd,,Herbert Jones,23,NOP,29938,4939
241,2022,NBA,All-Rookie,2nd,,Josh Giddey,19,OKC,30048,4971
242,2022,NBA,All-Rookie,2nd,,Bones Hyland,21,DEN,29698,4908
243,2022,NBA,All-Rookie,2nd,,Ayo Dosunmu,22,CHI,29687,4907
244,2022,NBA,All-Rookie,2nd,,Chris Duarte,24,IND,29759,4919
255,2021,NBA,All-Defense,1st,C,Rudy Gobert,28,UTA,29529,4199
256,2021,NBA,All-Defense,1st,G,Ben Simmons,24,PHI,28991,4474
257,2021,NBA,All-Defense,1st,F,Draymond Green,30,GSW,29139,4085
258,2021,NBA,All-Defense,1st,G,Jrue Holiday,30,MIL,29308,3891
259,2021,NBA,All-Defense,1st,F,Giannis Antetokounmpo,26,MIL,29187,4164
260,2021,NBA,All-Defense,2nd,G,Jimmy Butler,31,MIA,29285,4023
261,2021,NBA,All-Defense,2nd,F,Bam Adebayo,23,MIA,28987,4472
262,2021,NBA,All-Defense,2nd,C,Joel Embiid,26,PHI,29288,4416
263,2021,NBA,All-Defense,2nd,G,Matisse Thybulle,23,PHI,29404,4760
264,2021,NBA,All-Defense,2nd,F,Kawhi Leonard,29,LAC,29324,4032
294,2021,NBA,All-NBA,1st,F,Giannis Antetokounmpo,26,MIL,29187,4164
295,2021,NBA,All-NBA,1st,C,Nikola Jokić,25,DEN,29456,4352
296,2021,NBA,All-NBA,1st,G,Stephen Curry,32,GSW,29553,3903
297,2021,NBA,All-NBA,1st,G,Luka Dončić,21,DAL,29379,4653
298,2021,NBA,All-NBA,1st,F,Kawhi Leonard,29,LAC,29324,4032
299,2021,NBA,All-NBA,2nd,G,Damian Lillard,30,POR,29072,4077
300,2021,NBA,All-NBA,2nd,C,Joel Embiid,26,PHI,29288,4416
301,2021,NBA,All-NBA,2nd,G,Chris Paul,35,PHO,29042,3585
302,2021,NBA,All-NBA,2nd,F,Julius Randle,26,NYK,29311,4266
303,2021,NBA,All-NBA,2nd,F,LeBron James,36,LAL,29371,3462
304,2021,NBA,All-NBA,3rd,C,Rudy Gobert,28,UTA,29529,4199
305,2021,NBA,All-NBA,3rd,F,Jimmy Butler,31,MIA,29285,4023
306,2021,NBA,All-NBA,3rd,F,Paul George,30,LAC,29486,3968
307,2021,NBA,All-NBA,3rd,G,Bradley Beal,27,WAS,29004,4072
308,2021,NBA,All-NBA,3rd,G,Kyrie Irving,28,BRK,29360,4037
326,2021,NBA,All-Rookie,1st,,Anthony Edwards,19,MIN,28972,4808
327,2021,NBA,All-Rookie,1st,,LaMelo Ball,19,CHO,29366,4858
328,2021,NBA,All-Rookie,1st,,Tyrese Haliburton,20,SAC,29613,4892
329,2021,NBA,All-Rookie,1st,,Saddiq Bey,21,DET,29534,4882
330,2021,NBA,All-Rookie,1st,,Jae'Sean Tate,25,HOU,29232,4842
331,2021,NBA,All-Rookie,2nd,,Immanuel Quickley,21,NYK,29211,4837
332,2021,NBA,All-Rookie,2nd,,Desmond Bane,22,MEM,29123,4824
333,2021,NBA,All-Rookie,2nd,,Isaiah Stewart,19,DET,29219,4840
334,2021,NBA,All-Rookie,2nd,,Isaac Okoro,20,CLE,29213,4838
335,2021,NBA,All-Rookie,2nd,,Patrick Williams,19,CHI,29484,4873
348,2020,NBA,All-Defense,1st,F,Giannis Antetokounmpo,25,MIL,28507,4164
349,2020,NBA,All-Defense,1st,F,Anthony Davis,26,LAL,28323,4066
350,2020,NBA,All-Defense,1st,G,Ben Simmons,23,PHI,28336,4474
351,2020,NBA,All-Defense,1st,C,Rudy Gobert,27,UTA,28826,4199
352,2020,NBA,All-Defense,1st,G,Marcus Smart,25,BOS,28720,4275
353,2020,NBA,All-Defense,2nd,F,Kawhi Leonard,28,LAC,28654,4032
354,2020,NBA,All-Defense,2nd,C,Brook Lopez,31,MIL,28353,3801
355,2020,NBA,All-Defense,2nd,F,Bam Adebayo,22,MIA,28334,4472
356,2020,NBA,All-Defense,2nd,G,Patrick Beverley,31,LAC,28792,4124
357,2020,NBA,All-Defense,2nd,G,Eric Bledsoe,30,MIL,28483,3934
389,2020,NBA,All-NBA,1st,F,LeBron James,35,LAL,28697,3462
390,2020,NBA,All-NBA,1st,F,Giannis Antetokounmpo,25,MIL,28507,4164
391,2020,NBA,All-NBA,1st,G,James Harden,30,HOU,28559,3880
392,2020,NBA,All-NBA,1st,C,Anthony Davis,26,LAL,28323,4066
393,2020,NBA,All-NBA,1st,G,Luka Dončić,20,DAL,28704,4653
394,2020,NBA,All-NBA,2nd,F,Kawhi Leonard,28,LAC,28654,4032
395,2020,NBA,All-NBA,2nd,C,Nikola Jokić,24,DEN,28777,4352
396,2020,NBA,All-NBA,2nd,G,Damian Lillard,29,POR,28403,4077
397,2020,NBA,All-NBA,2nd,G,Chris Paul,34,OKC,28384,3585
398,2020,NBA,All-NBA,2nd,F,Pascal Siakam,25,TOR,28790,4436
399,2020,NBA,All-NBA,3rd,F,Jayson Tatum,21,BOS,28582,4518
400,2020,NBA,All-NBA,3rd,F,Jimmy Butler,30,MIA,28598,4023
401,2020,NBA,All-NBA,3rd,C,Rudy Gobert,27,UTA,28826,4199
402,2020,NBA,All-NBA,3rd,G,Ben Simmons,23,PHI,28336,4474
403,2020,NBA,All-NBA,3rd,G,Russell Westbrook,31,HOU,28828,3849
419,2020,NBA,All-Rookie,1st,,Ja Morant,20,MEM,28537,4723
420,2020,NBA,All-Rookie,1st,,Kendrick Nunn,24,MIA,28663,4747
421,2020,NBA,All-Rookie,1st,,Brandon Clarke,23,MEM,28346,4693
422,2020,NBA,All-Rookie,1st,,Zion Williamson,19,NOP,28939,4803
423,2020,NBA,All-Rookie,1st,,Eric Paschall,23,GSW,28486,4716
424,2020,NBA,All-Rookie,2nd,,Tyler Herro,20,MIA,28903,4796
425,2020,NBA,All-Rookie,2nd,,Terence Davis,22,TOR,28864,4792
426,2020,NBA,All-Rookie,2nd,,Coby White,19,CHI,28389,4703
427,2020,NBA,All-Rookie,2nd,,P.J. Washington,21,CHO,28789,4778
428,2020,NBA,All-Rookie,2nd,,Rui Hachimura,21,WAS,28827,4784
437,2019,NBA,All-Defense,1st,C,Rudy Gobert,26,UTA,28147,4199
438,2019,NBA,All-Defense,1st,F,Paul George,28,OKC,28111,3968
439,2019,NBA,All-Defense,1st,F,Giannis Antetokounmpo,24,MIL,27809,4164
440,2019,NBA,All-Defense,1st,G,Marcus Smart,24,BOS,28031,4275
441,2019,NBA,All-Defense,1st,G,Eric Bledsoe,29,MIL,27782,3934
442,2019,NBA,All-Defense,2nd,G,Jrue Holiday,28,NOP,27949,3891
443,2019,NBA,All-Defense,2nd,G,Klay Thompson,28,GSW,27987,4036
444,2019,NBA,All-Defense,2nd,C,Joel Embiid,24,PHI,27919,4416
445,2019,NBA,All-Defense,2nd,F,Draymond Green,28,GSW,27760,4085
446,2019,NBA,All-Defense,2nd,F,Kawhi Leonard,27,TOR,27966,4032
490,2019,NBA,All-NBA,1st,G,James Harden,29,HOU,27871,3880
491,2019,NBA,All-NBA,1st,F,Giannis Antetokounmpo,24,MIL,27809,4164
492,2019,NBA,All-NBA,1st,G,Stephen Curry,30,GSW,28179,3903
493,2019,NBA,All-NBA,1st,F,Paul George,28,OKC,28111,3968
494,2019,NBA,All-NBA,1st,C,Nikola Jokić,23,DEN,28085,4352
495,2019,NBA,All-NBA,2nd,C,Joel Embiid,24,PHI,27919,4416
496,2019,NBA,All-NBA,2nd,F,Kevin Durant,30,GSW,27979,3770
497,2019,NBA,All-NBA,2nd,G,Damian Lillard,28,POR,27699,4077
498,2019,NBA,All-NBA,2nd,F,Kawhi Leonard,27,TOR,27966,4032
499,2019,NBA,All-NBA,2nd,G,Kyrie Irving,26,BOS,27999,4037
500,2019,NBA,All-NBA,3rd,G,Russell Westbrook,30,OKC,28148,3849
501,2019,NBA,All-NBA,3rd,F,Blake Griffin,29,DET,27632,3920
502,2019,NBA,All-NBA,3rd,F,LeBron James,34,LAL,28009,3462
503,2019,NBA,All-NBA,3rd,C,Rudy Gobert,26,UTA,28147,4199
504,2019,NBA,All-NBA,3rd,G,Kemba Walker,28,CHO,27972,4034
530,2019,NBA,All-Rookie,1st,,Luka Dončić,19,DAL,28015,4653
531,2019,NBA,All-Rookie,1st,,Trae Young,20,ATL,28220,4675
532,2019,NBA,All-Rookie,1st,,Deandre Ayton,20,PHO,27720,4603
533,2019,NBA,All-Rookie,1st,,Jaren Jackson Jr.,19,MEM,27882,4631
534,2019,NBA,All-Rookie,1st,,Marvin Bagley III,19,SAC,28041,4655
535,2019,NBA,All-Rookie,2nd,,Shai Gilgeous-Alexander,20,LAC,28163,4669
536,2019,NBA,All-Rookie,2nd,,Collin Sexton,20,CLE,27684,4598
537,2019,NBA,All-Rookie,2nd,,Mitchell Robinson,20,NYK,28070,4660
538,2019,NBA,All-Rookie,2nd,,Kevin Huerter,20,ATL,27980,4647
551,2018,NBA,All-Defense,1st,C,Rudy Gobert,25,UTA,27467,4199
552,2018,NBA,All-Defense,1st,F,Anthony Davis,24,NOP,26947,4066
553,2018,NBA,All-Defense,1st,G,Victor Oladipo,25,IND,27554,4217
554,2018,NBA,All-Defense,1st,G,Jrue Holiday,27,NOP,27270,3891
555,2018,NBA,All-Defense,1st,F,Robert Covington,27,PHI,27456,4197
556,2018,NBA,All-Defense,2nd,C,Joel Embiid,23,PHI,27241,4416
557,2018,NBA,All-Defense,2nd,F,Draymond Green,27,GSW,27092,4085
558,2018,NBA,All-Defense,2nd,F,Al Horford,31,BOS,26924,3734
559,2018,NBA,All-Defense,2nd,G,Dejounte Murray,21,SAS,27054,4392
560,2018,NBA,All-Defense,2nd,G,Jimmy Butler,28,MIN,27231,4023
592,2018,NBA,All-NBA,1st,F,LeBron James,33,CLE,27322,3462
593,2018,NBA,All-NBA,1st,G,James Harden,28,HOU,27201,3880
594,2018,NBA,All-NBA,1st,C,Anthony Davis,24,NOP,26947,4066
595,2018,NBA,All-NBA,1st,G,Damian Lillard,27,POR,27025,4077
596,2018,NBA,All-NBA,1st,F,Kevin Durant,29,GSW,27293,3770
597,2018,NBA,All-NBA,2nd,F,Giannis Antetokounmpo,23,MIL,27142,4164
598,2018,NBA,All-NBA,2nd,G,Russell Westbrook,29,OKC,27468,3849
599,2018,NBA,All-NBA,2nd,C,Joel Embiid,23,PHI,27241,4416
600,2018,NBA,All-NBA,2nd,F,LaMarcus Aldridge,32,SAS,27311,3686
601,2018,NBA,All-NBA,2nd,G,DeMar DeRozan,28,TOR,27056,3872
602,2018,NBA,All-NBA,3rd,G,Stephen Curry,29,GSW,27494,3903
603,2018,NBA,All-NBA,3rd,G,Victor Oladipo,25,IND,27554,4217
604,2018,NBA,All-NBA,3rd,C,Karl-Anthony Towns,22,MIN,27281,4339
605,2018,NBA,All-NBA,3rd,F,Jimmy Butler,28,MIN,27231,4023
606,2018,NBA,All-NBA,3rd,F,Paul George,27,OKC,27432,3968
625,2018,NBA,All-Rookie,1st,,Ben Simmons,21,PHI,26962,4474
626,2018,NBA,All-Rookie,1st,,Donovan Mitchell,21,UTA,27086,4495
627,2018,NBA,All-Rookie,1st,,Jayson Tatum,19,BOS,27221,4518
628,2018,NBA,All-Rookie,1st,,Kyle Kuzma,22,LAL,27306,4534
629,2018,NBA,All-Rookie,1st,,Lauri Markkanen,20,CHI,27321,4535
630,2018,NBA,All-Rookie,2nd,,Dennis Smith Jr.,20,DAL,27063,4490
631,2018,NBA,All-Rookie,2nd,,Lonzo Ball,20,LAL,27324,4537
632,2018,NBA,All-Rookie,2nd,,John Collins,20,ATL,27243,4519
633,2018,NBA,All-Rookie,2nd,,Bogdan Bogdanović,25,SAC,26972,4475
634,2018,NBA,All-Rookie,2nd,,Josh Jackson,20,PHO,27265,4526
650,2017,NBA,All-Defense,1st,F,Draymond Green,26,GSW,26494,4085
651,2017,NBA,All-Defense,1st,C,Rudy Gobert,24,UTA,26814,4199
652,2017,NBA,All-Defense,1st,F,Kawhi Leonard,25,SAS,26641,4032
653,2017,NBA,All-Defense,1st,G,Chris Paul,31,LAC,26424,3585
654,2017,NBA,All-Defense,1st,G,Patrick Beverley,28,HOU,26772,4124
655,2017,NBA,All-Defense,2nd,G,Tony Allen,35,MEM,26872,3561
656,2017,NBA,All-Defense,2nd,G,Danny Green,29,SAS,26444,3867
657,2017,NBA,All-Defense,2nd,C,Anthony Davis,23,NOP,26357,4066
658,2017,NBA,All-Defense,2nd,F,Andre Roberson,25,OKC,26344,4144
659,2017,NBA,All-Defense,2nd,F,Giannis Antetokounmpo,22,MIL,26526,4164
699,2017,NBA,All-NBA,1st,G,James Harden,27,HOU,26560,3880
700,2017,NBA,All-NBA,1st,F,LeBron James,32,CLE,26682,3462
701,2017,NBA,All-NBA,1st,G,Russell Westbrook,28,OKC,26815,3849
702,2017,NBA,All-NBA,1st,F,Kawhi Leonard,25,SAS,26641,4032
703,2017,NBA,All-NBA,1st,C,Anthony Davis,23,NOP,26357,4066
704,2017,NBA,All-NBA,2nd,C,Rudy Gobert,24,UTA,26814,4199
705,2017,NBA,All-NBA,2nd,G,Stephen Curry,28,GSW,26841,3903
706,2017,NBA,All-NBA,2nd,F,Giannis Antetokounmpo,22,MIL,26526,4164
707,2017,NBA,All-NBA,2nd,F,Kevin Durant,28,GSW,26649,3770
708,2017,NBA,All-NBA,2nd,G,Isaiah Thomas,27,BOS,26544,4012
709,2017,NBA,All-NBA,3rd,F,Draymond Green,26,GSW,26494,4085
710,2017,NBA,All-NBA,3rd,G,John Wall,26,WAS,26603,3951
711,2017,NBA,All-NBA,3rd,F,Jimmy Butler,27,CHI,26587,4023
712,2017,NBA,All-NBA,3rd,G,DeMar DeRozan,27,TOR,26463,3872
713,2017,NBA,All-NBA,3rd,C,DeAndre Jordan,28,LAC,26456,3810
729,2017,NBA,All-Rookie,1st,,Dario Šarić,22,PHI,26448,4389
730,2017,NBA,All-Rookie,1st,,Malcolm Brogdon,24,MIL,26692,4423
731,2017,NBA,All-Rookie,1st,,Joel Embiid,22,PHI,26596,4416
732,2017,NBA,All-Rookie,1st,,Willy Hernangómez,22,NYK,26910,4459
733,2017,NBA,All-Rookie,2nd,,Jamal Murray,19,DEN,26557,4412
734,2017,NBA,All-Rookie,2nd,,Jaylen Brown,20,BOS,26576,4414
735,2017,NBA,All-Rookie,2nd,,Marquese Chriss,19,PHO,26707,4427
736,2017,NBA,All-Rookie,2nd,,Brandon Ingram,19,LAL,26388,4378
757,2016,NBA,All-Defense,1st,F,Kawhi Leonard,24,SAS,26060,4032
758,2016,NBA,All-Defense,1st,F,Draymond Green,25,GSW,25899,4085
759,2016,NBA,All-Defense,1st,G,Avery Bradley,25,BOS,25787,3918
760,2016,NBA,All-Defense,1st,G,Chris Paul,30,LAC,25844,3585
761,2016,NBA,All-Defense,1st,C,DeAndre Jordan,27,LAC,25879,3810
762,2016,NBA,All-Defense,2nd,C,Hassan Whiteside,26,MIA,25942,3945
763,2016,NBA,All-Defense,2nd,G,Tony Allen,34,MEM,26290,3561
764,2016,NBA,All-Defense,2nd,F,Paul Millsap,30,ATL,26193,3701
765,2016,NBA,All-Defense,2nd,G,Jimmy Butler,26,CHI,26011,4023
766,2016,NBA,All-Defense,2nd,F,Paul George,25,IND,26192,3968
806,2016,NBA,All-NBA,1st,G,Stephen Curry,27,GSW,26260,3903
807,2016,NBA,All-NBA,1st,F,LeBron James,31,CLE,26107,3462
808,2016,NBA,All-NBA,1st,G,Russell Westbrook,27,OKC,26229,3849
809,2016,NBA,All-NBA,1st,F,Kawhi Leonard,24,SAS,26060,4032
810,2016,NBA,All-NBA,1st,C,DeAndre Jordan,27,LAC,25879,3810
811,2016,NBA,All-NBA,2nd,F,Kevin Durant,27,OKC,26070,3770
812,2016,NBA,All-NBA,2nd,F,Draymond Green,25,GSW,25899,4085
813,2016,NBA,All-NBA,2nd,G,Chris Paul,30,LAC,25844,3585
814,2016,NBA,All-NBA,2nd,C,DeMarcus Cousins,25,SAC,25883,3926
815,2016,NBA,All-NBA,2nd,G,Damian Lillard,25,POR,25866,4077
816,2016,NBA,All-NBA,3rd,C,Andre Drummond,22,DET,25767,4064
817,2016,NBA,All-NBA,3rd,G,Klay Thompson,25,GSW,26082,4036
818,2016,NBA,All-NBA,3rd,F,Paul George,25,IND,26192,3968
819,2016,NBA,All-NBA,3rd,G,Kyle Lowry,29,TOR,26093,3685
820,2016,NBA,All-NBA,3rd,F,LaMarcus Aldridge,30,SAS,26098,3686
843,2016,NBA,All-Rookie,1st,,Karl-Anthony Towns,20,MIN,26059,4339
844,2016,NBA,All-Rookie,1st,,Kristaps Porziņģis,20,NYK,26090,4343
845,2016,NBA,All-Rookie,1st,,Devin Booker,19,PHO,25890,4321
846,2016,NBA,All-Rookie,1st,,Jahlil Okafor,20,PHI,25962,4327
847,2016,NBA,All-Rookie,1st,,Nikola Jokić,20,DEN,26168,4352
848,2016,NBA,All-Rookie,2nd,,Justise Winslow,19,MIA,26056,4338
849,2016,NBA,All-Rookie,2nd,,D'Angelo Russell,19,LAL,25864,4317
850,2016,NBA,All-Rookie,2nd,,Emmanuel Mudiay,19,DEN,25912,4324
851,2016,NBA,All-Rookie,2nd,,Myles Turner,19,IND,26158,4350
852,2016,NBA,All-Rookie,2nd,,Willie Cauley-Stein,22,SAC,26317,4371
871,2015,NBA,All-Defense,1st,F,Kawhi Leonard,23,SAS,25447,4032
872,2015,NBA,All-Defense,1st,F,Draymond Green,24,GSW,25257,4085
873,2015,NBA,All-Defense,1st,G,Tony Allen,33,MEM,25697,3561
874,2015,NBA,All-Defense,1st,C,DeAndre Jordan,26,LAC,25236,3810
875,2015,NBA,All-Defense,1st,G,Chris Paul,29,LAC,25204,3585
876,2015,NBA,All-Defense,2nd,F,Anthony Davis,21,NOP,25137,4066
877,2015,NBA,All-Defense,2nd,G,Jimmy Butler,25,CHI,25402,4023
878,2015,NBA,All-Defense,2nd,C,Andrew Bogut,30,GSW,25133,3573
879,2015,NBA,All-Defense,2nd,G,John Wall,24,WAS,25416,3951
880,2015,NBA,All-Defense,2nd,F,Tim Duncan,38,SAS,25687,3092
922,2015,NBA,All-NBA,1st,F,LeBron James,30,CLE,25491,3462
923,2015,NBA,All-NBA,1st,G,Stephen Curry,26,GSW,25662,3903
924,2015,NBA,All-NBA,1st,G,James Harden,25,HOU,25363,3880
925,2015,NBA,All-NBA,1st,F,Anthony Davis,21,NOP,25137,4066
926,2015,NBA,All-NBA,1st,C,Marc Gasol,30,MEM,25507,3835
927,2015,NBA,All-NBA,2nd,G,Russell Westbrook,26,OKC,25634,3849
928,2015,NBA,All-NBA,2nd,F,LaMarcus Aldridge,29,POR,25480,3686
929,2015,NBA,All-NBA,2nd,G,Chris Paul,29,LAC,25204,3585
930,2015,NBA,All-NBA,2nd,F,Pau Gasol,34,CHI,25583,3341
931,2015,NBA,All-NBA,2nd,C,DeMarcus Cousins,24,SAC,25239,3926
932,2015,NBA,All-NBA,3rd,F,Blake Griffin,25,LAC,25160,3920
933,2015,NBA,All-NBA,3rd,C,DeAndre Jordan,26,LAC,25236,3810
934,2015,NBA,All-NBA,3rd,F,Tim Duncan,38,SAS,25687,3092
935,2015,NBA,All-NBA,3rd,G,Klay Thompson,24,GSW,25467,4036
936,2015,NBA,All-NBA,3rd,G,Kyrie Irving,22,CLE,25479,4037
963,2015,NBA,All-Rookie,1st,,Andrew Wiggins,19,MIN,25135,4223
